# Si535x Registers Script
# 
# Part: Si5351A
# Project File: <not saved>
# Design ID: <none>
# Includes Pre/Post Download Control Register Writes: Yes
# Creator: ClockBuilder Pro v2.34.1 [2019-05-31]
# Created On: 2019-06-25 12:46:37 GMT+02:00
Address,Data
0x0002,0x53
0x0003,0x00
0x0007,0x00
0x000F,0x00
0x0010,0x0F
0x0011,0x0F
0x0012,0x8C
0x0013,0x8C
0x0014,0x8C
0x0015,0x8C
0x0016,0x8C
0x0017,0x8C
0x001A,0x00
0x001B,0x01
0x001C,0x00
0x001D,0x10
0x001E,0x00
0x001F,0x00
0x0020,0x00
0x0021,0x00
0x002A,0x00
0x002B,0x02
0x002C,0x00
0x002D,0x09
0x002E,0x40
0x002F,0x00
0x0030,0x00
0x0031,0x00
0x0032,0x00
0x0033,0x02
0x0034,0x00
0x0035,0x09
0x0036,0x40
0x0037,0x00
0x0038,0x00
0x0039,0x00
0x005A,0x00
0x005B,0x00
0x0095,0x00
0x0096,0x00
0x0097,0x00
0x0098,0x00
0x0099,0x00
0x009A,0x00
0x009B,0x00
0x00A2,0x00
0x00A3,0x00
0x00A4,0x00
0x00A6,0x2B
0x00B7,0x92
