time,cell_voltages_a[0],cell_voltages_a[1],cell_voltages_a[2],cell_voltages_a[3],cell_voltages_a[4],cell_voltages_a[5],cell_voltages_a[6],cell_voltages_a[7],cell_voltages_a[8],cell_voltages_a[9],cell_voltages_a[10],cell_voltages_a[11],cell_voltages_a[12],cell_voltages_a[13],cell_voltages_a[14],cell_voltages_a[15],cell_voltages_a[16],cell_voltages_a[17],cell_voltages_a[18],cell_voltages_a[19]
0.000100,1319.993400,1319.986800,1319.980200,1331.664575,1343.770801,1353.946221,1362.135553,1362.128742,1362.121932,1362.115121,1362.108311,1362.101500,1362.094690,1362.087879,1362.081069,1362.074258,1362.067448,1362.060638,1362.053827,1362.047017
0.000200,1319.993400,1319.986800,1319.980200,1319.973600,1332.079886,1342.255363,1350.444754,1358.012064,1358.005274,1357.998484,1357.991694,1357.984904,1357.978114,1357.971325,1357.964535,1357.957745,1357.950955,1357.944165,1357.937376,1357.930586
0.000300,1319.993400,1319.986800,1319.980200,1319.973600,1319.967000,1330.142539,1338.331990,1345.899361,1354.242403,1361.070651,1361.063846,1361.057041,1361.050235,1361.043430,1361.036625,1361.029820,1361.023015,1361.016210,1361.009404,1361.002599
0.000400,1319.993400,1319.986800,1319.980200,1319.973600,1319.967000,1319.960400,1319.953801,1319.947201,1319.940601,1326.769021,1335.490061,1342.884293,1342.877578,1342.870864,1342.864150,1342.857435,1342.850721,1342.844007,1342.837293,1342.830578
0.000500,1319.993400,1319.986800,1319.980200,1319.973600,1319.967000,1319.960400,1319.953801,1319.947201,1319.940601,1319.934001,1319.927402,1327.321712,1335.789285,1344.065281,1351.287027,1358.505549,1358.498756,1358.491964,1358.485171,1358.478379
0.000600,1319.993400,1319.986800,1319.980200,1319.973600,1319.967000,1319.960400,1319.953801,1319.947201,1319.940601,1319.934001,1319.927402,1319.920802,1319.914203,1328.190278,1335.412103,1342.630704,1351.398458,1360.457378,1369.001078,1377.146432
0.000700,1319.993400,1319.986800,1319.980200,1319.973600,1319.967000,1319.960400,1319.953801,1319.947201,1319.940601,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,1319.887804,1328.946882,1337.490740,1345.636251
0.000800,1319.993400,1319.986800,1319.980200,1319.973600,1319.967000,1319.960400,1319.953801,1319.947201,1319.940601,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,1319.887804,1319.881205,1319.874606,1319.868006
0.000900,1319.993400,1319.986800,1319.980200,1319.973600,1319.967000,1319.960400,1319.953801,1319.947201,1319.940601,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,1319.887804,1319.881205,1319.874606,1319.868006
0.001000,1319.993400,1319.986800,1319.980200,1319.973600,1319.967000,1319.960400,1319.953801,1319.947201,1319.940601,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,1319.887804,1319.881205,1319.874606,1319.868006
0.001100,1319.993400,1328.851653,1330.406573,1325.593219,1325.586591,1325.579963,1325.573335,1325.566707,1325.560080,1325.553452,1314.979778,1306.240971,1298.326172,1289.930607,1283.196203,1275.820129,1268.867617,1261.062870,1254.456363,1248.960304
0.001200,1319.993400,1328.851653,1330.406573,1325.593219,1317.775313,1308.031968,1296.476030,1296.469548,1296.463066,1296.456583,1296.450101,1296.443619,1296.437137,1288.041580,1281.307187,1273.931122,1266.978619,1259.173882,1252.567384,1247.071335
0.001300,1319.993400,1328.851653,1330.406573,1325.593219,1317.775313,1308.031968,1296.476030,1284.481941,1284.475519,1284.469096,1284.462674,1284.456252,1284.449829,1284.443407,1284.436985,1277.060905,1270.108386,1262.303633,1255.697119,1250.201055
0.001400,1319.993400,1328.851653,1330.406573,1325.593219,1317.775313,1308.031968,1296.476030,1284.481941,1273.375371,1264.196073,1253.622705,1253.616437,1253.610169,1253.603901,1253.597633,1253.591365,1253.585097,1245.780427,1239.173996,1233.678014
0.001500,1319.993400,1328.851653,1330.406573,1325.593219,1317.775313,1308.031968,1296.476030,1284.481941,1273.375371,1264.196073,1253.622705,1244.884205,1236.969713,1228.574455,1228.568312,1228.562169,1228.556026,1228.549883,1228.543741,1228.537598
0.001600,1319.993400,1328.851653,1330.406573,1325.593219,1317.775313,1308.031968,1296.476030,1284.481941,1273.375371,1264.196073,1253.622705,1244.884205,1236.969713,1228.574455,1221.840358,1214.464591,1214.458518,1214.452446,1214.446374,1214.440302
0.001700,1319.993400,1328.851653,1330.406573,1325.593219,1317.775313,1308.031968,1296.476030,1284.481941,1273.375371,1264.196073,1253.622705,1244.884205,1236.969713,1228.574455,1221.840358,1214.464591,1207.512385,1199.707945,1199.701947,1199.695948
0.001800,1319.993400,1328.851653,1330.406573,1325.593219,1317.775313,1308.031968,1296.476030,1284.481941,1273.375371,1264.196073,1253.622705,1244.884205,1236.969713,1228.574455,1221.840358,1214.464591,1207.512385,1199.707945,1193.101744,1187.605993
0.001900,1319.993400,1328.851653,1330.406573,1325.593219,1317.775313,1308.031968,1296.476030,1284.481941,1273.375371,1264.196073,1253.622705,1244.884205,1236.969713,1228.574455,1221.840358,1214.464591,1207.512385,1199.707945,1193.101744,1187.605993
0.002000,1319.993400,1328.851653,1330.406573,1325.593219,1317.775313,1308.031968,1296.476030,1284.481941,1273.375371,1264.196073,1253.622705,1244.884205,1236.969713,1228.574455,1221.840358,1214.464591,1207.512385,1199.707945,1193.101744,1187.605993
0.002100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002300,0.000000,0.000000,0.000000,1325.867745,0.000000,1325.854486,1325.847857,1325.841228,0.000000,1325.827969,1325.821340,1325.814711,1325.808082,1325.801453,1325.794824,1325.788195,0.000000,0.000000,1325.768308,1325.761679
0.002400,0.000000,-16527416319083767533201341363272921813863382411596501167285198381397062268391876504650737734056540351868621043307879335387164753205366095872.000000,-16527416319083767533201341363272921813863382411596501167285198381397062268391876504650737734056540351868621043307879335387164753205366095872.000000,1323.724933,-16527416319083767533201341363272921813863382411596501167285198381397062268391876504650737734056540351868621043307879335387164753205366095872.000000,1319.933880,1319.927280,1319.920681,-16527416319083767533201341363272921813863382411596501167285198381397062268391876504650737734056540351868621043307879335387164753205366095872.000000,1319.907482,1319.900882,1319.894282,1319.887683,1319.881084,1319.874484,1319.867885,-16527416319083767533201341363272921813863382411596501167285198381397062268391876504650737734056540351868621043307879335387164753205366095872.000000,0.000000,1319.848087,1319.841488
0.002500,0.000000,0.000000,0.000000,1323.724933,0.000000,1315.591920,1310.437045,1310.430493,0.000000,1310.417388,1310.410836,1310.404284,1310.397732,1310.391180,1310.384628,1310.378076,0.000000,0.000000,1310.358421,1310.351869
0.002600,21183547628524958394442196978397755796402790621531184151500534914303517037718131769016750647718894337215227369757844985842715400859741236158117985618150433828232291300972464827585562395434667464141868194794213212160.000000,0.000000,0.000000,1323.724933,0.000000,1315.591920,1310.437045,1306.531364,0.000000,1301.392946,1299.593136,1297.915727,1296.064116,1293.743322,1290.663773,1290.657320,0.000000,0.000000,1290.655186,1292.245349
0.002700,0.000000,0.000000,0.000000,1323.724933,0.000000,1315.591920,1310.437045,1306.531364,0.000000,1301.392946,1299.593136,1297.915727,1296.064116,1293.743322,1290.663773,1289.793629,0.000000,0.000000,1289.190851,1289.184405
0.002800,0.000000,0.000000,0.000000,1323.724933,0.000000,1315.591920,1310.437045,1306.531364,0.000000,1301.392946,1299.593136,1297.915727,1296.064116,1293.743322,1290.663773,1289.793629,0.000000,0.000000,1289.836564,1291.426731
0.002900,0.000000,0.000000,0.000000,1323.724933,0.000000,1315.591920,1310.437045,1306.531364,0.000000,1301.392946,1299.593136,1297.915727,1296.064116,1293.743322,1290.663773,1289.793629,0.000000,0.000000,1289.836564,1291.426731
0.003000,0.000000,0.000000,0.000000,1323.724933,0.000000,1315.591920,1310.437045,1306.531364,0.000000,1301.392946,1299.593136,1297.915727,1296.064116,1293.743322,1290.663773,1289.793629,0.000000,0.000000,1289.836564,1291.426731
0.003100,0.000000,1325.643412,0.000000,1319.973600,0.000000,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,0.000000,0.000000,1319.874606,1319.868006
0.003200,0.000000,1325.643412,0.000000,1319.973600,0.000000,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,0.000000,0.000000,1319.874606,1319.868006
0.003300,0.000000,1325.643412,0.000000,1336.910522,0.000000,1341.059492,1341.052787,1341.046081,0.000000,1341.032671,1341.025966,1341.019261,1341.012556,1341.005851,1340.999146,1340.992441,0.000000,0.000000,1340.972326,1340.965621
0.003400,21183547628524958394442196978397755796402790621531184151500534914303517037718131769016750647718894337215227369757844985842715400859741236158117985618150433828232291300972464827585562395434667464141868194794213212160.000000,1325.643412,0.000000,1336.910522,0.000000,1344.529455,1347.554871,1349.416335,0.000000,1350.768956,1350.847447,1350.929784,1351.320612,1352.322594,1354.232883,1354.061822,0.000000,0.000000,1353.064469,1350.994849
0.003500,0.000000,1325.643412,0.000000,1336.910522,0.000000,1344.529455,1347.554871,1349.416335,0.000000,1350.768956,1350.847447,1350.929784,1351.320612,1352.322594,1354.232883,1354.061822,0.000000,0.000000,1353.064469,1350.994849
0.003600,0.000000,1325.643412,0.000000,1326.424573,0.000000,1334.043611,1337.069080,1338.930595,0.000000,1340.283322,1340.361865,1340.444254,1340.835135,1341.837169,1343.747510,1343.576502,0.000000,0.000000,1342.579306,1340.509739
0.003700,0.000000,1325.643412,1325.874374,1319.973600,0.000000,1327.592702,1330.618204,1332.479752,0.000000,1333.832542,1333.911118,1333.993540,1334.384452,1335.386519,1337.296892,1337.125916,0.000000,1362.115121,1336.128817,1334.059283
0.003800,0.000000,1325.643412,1325.874374,1319.973600,0.000000,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.730114,0.000000,1357.998484,1318.354215,1316.284769
0.003900,111502190489395154570179337390340504102541501334789263378363816004558601722869287362479062682457234999969505565005280311458696065191669827832739800150144203336716386304.000000,1319.986800,1325.874374,1319.973600,0.000000,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,0.000000,1361.070651,1319.874606,1319.868006
0.004000,0.000000,1319.986800,1325.874374,1319.973600,0.000000,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,0.000000,1326.769021,1319.874606,1319.868006
0.004100,0.000000,1323.809061,1325.874374,1319.973600,0.000000,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,0.000000,1319.934001,1319.874606,1319.868006
0.004200,-16527416319083767533201341363272921813863382411596501167285198381397062268391876504650737734056540351868621043307879335387164753205366095872.000000,1323.809061,1325.874374,1319.973600,0.000000,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,0.000000,1319.934001,1319.874606,1319.868006
0.004300,0.000000,1323.809061,1325.874374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1319.934001,0.000000,0.000000
0.004400,0.000000,1319.986800,1325.874374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1319.934001,0.000000,0.000000
0.004500,1319.993400,1319.986800,1319.980200,1328.421755,0.000000,1328.408471,1328.401829,1328.395187,0.000000,1328.381903,1328.375261,1328.368619,1328.361977,1328.355335,1328.348693,1321.744707,0.000000,1319.934001,1300.536120,1294.198538
0.004600,1319.993400,1319.986800,1319.980200,1326.029215,0.000000,1314.091084,1307.509561,1299.935051,0.000000,1283.102051,1274.491615,1266.175110,1258.456595,1251.624260,1245.946353,1239.342779,0.000000,1319.934001,1239.324189,1239.317992
0.004700,1319.993400,1319.986800,1330.466201,1326.029215,0.000000,1314.091084,1307.509561,1299.935051,0.000000,1283.102051,1274.491615,1266.175110,1258.456595,1251.624260,1245.946353,1239.342779,0.000000,1325.553452,1218.135427,1218.129337
0.004800,1319.993400,1319.986800,1330.466201,1326.029215,0.000000,1314.091084,1307.509561,1299.935051,0.000000,1283.102051,1274.491615,1266.175110,1258.456595,1251.624260,1245.946353,1239.342779,0.000000,1296.456583,1218.135427,1211.798257
0.004900,1319.993400,1319.986800,1330.466201,1326.029215,1325.861116,1314.091084,1307.509561,1299.935051,0.000000,1283.102051,1274.491615,1266.175110,1258.456595,1251.624260,1245.946353,1239.342779,0.000000,1284.469096,1218.135427,1211.798257
0.005000,1319.993400,1319.986800,1319.980200,1326.029215,1319.940480,1314.091084,1307.509561,1299.935051,0.000000,1283.102051,1274.491615,1266.175110,1258.456595,1251.624260,1245.946353,1239.342779,0.000000,1264.196073,1218.135427,1211.798257
0.005100,1319.993400,0.000000,1319.980200,1326.029215,1319.940480,1314.091084,1307.509561,1299.935051,0.000000,1283.102051,1274.491615,1266.175110,1258.456595,1251.624260,1245.946353,1239.342779,0.000000,1264.196073,1218.135427,1211.798257
0.005200,1319.993400,0.000000,1319.980200,1326.029215,1319.940480,1314.091084,1307.509561,1299.935051,0.000000,1283.102051,1274.491615,1266.175110,1258.456595,1251.624260,1245.946353,1239.342779,0.000000,1264.196073,1218.135427,1211.798257
0.005300,1319.993400,0.000000,1319.980200,1318.741606,1319.940480,1313.078057,1313.071492,1313.064926,0.000000,1313.051796,1313.045231,1313.038665,1313.032100,1313.025535,1313.018970,1313.012405,0.000000,1264.196073,1312.992710,1312.986145
0.005400,1319.993400,-16527416319083767533201341363272921813863382411596501167285198381397062268391876504650737734056540351868621043307879335387164753205366095872.000000,1319.980200,1319.973600,1319.940480,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,0.000000,1264.196073,1304.835087,1298.497484
0.005500,1319.993400,0.000000,1319.980200,1331.942703,1319.940480,1343.349098,1347.807895,1347.801156,0.000000,1347.787678,1347.780939,1347.774200,1347.767461,1347.760722,1347.753984,1347.747245,0.000000,1264.196073,1347.727029,1347.720290
0.005600,1319.993400,0.000000,1319.980200,1331.942703,1319.940480,1343.349098,1347.807895,1353.411719,0.000000,1366.929610,1374.286374,1381.679324,1388.847794,1395.543249,1401.531834,1407.593014,0.000000,1264.196073,1407.571900,1407.564862
0.005700,1319.993400,0.000000,0.000000,1331.942703,1319.967000,1343.349098,1347.807895,1353.411719,0.000000,1366.929610,1374.286374,1381.679324,1388.847794,1395.543249,1401.531834,1407.593014,0.000000,0.000000,1422.352324,1422.345212
0.005800,1319.993400,0.000000,0.000000,1319.973600,1319.967000,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,0.000000,0.000000,1336.678315,1344.878338
0.005900,1319.993400,0.000000,0.000000,1319.973600,1341.066197,1319.960400,1319.953801,1319.947201,0.000000,1319.934001,1319.927402,1319.920802,1319.914203,1319.907603,1319.901003,1319.894404,0.000000,1325.827969,1319.874606,1328.074713
